,stock_ticker_symbol,market_capital,trailing_pe,beta,return_on_equity,earnings_growth
103,WDC,21503528960,N/A,1.38,-0.06973,N/A
104,7313.T,219807694848,18.340101,N/A,0.04725,18.469
105,EBF,592435200,14.249999,0.392,0.12036,-0.092
106,TNET,4618080256,15.546823,1.176,0.61675,-0.13
107,6098.T,12830143152128,36.6294,1.275,0.18058,0.107
108,MLKN,1835016960,23.801802,1.177,0.056420002,N/A
109,HLMA.L,9554171904,35.676056,0.532,0.16118,0.258
110,SKG.L,N/A,N/A,N/A,N/A,N/A
111,WPP.L,7979112960,38.93684,1.132,0.07334,0.825
112,JBL,11648532480,9.317604,1.245,0.56054,-0.384
113,3279.T,262187089920,16.578182,0.528,0.059109997,N/A
114,JEN.DE,1523678208,19.014286,1.352,0.09222,0.2
115,LXP,2981176832,112.22222,0.892,0.01636,N/A
116,TRMB,13262937088,8.888707,1.484,0.30337,28.705
117,WKP.L,1230739328,N/A,1.042,-0.115389995,N/A
118,6028.T,304443228160,21.096817,1.393,0.18776,-0.497
119,NLY,10130583552,N/A,1.578,-0.04354,N/A
120,KGF.L,5015109120,15.238887,0.955,0.052010003,0.15
121,RMAX,344325952,N/A,1.358,N/A,0.727
122,7951.T,577907130368,18.215305,0.675,0.06526,0.442
123,7846.T,165493948416,13.123213,-0.013,0.09434,0.004
124,SBAC,25775009792,50.49053,0.664,N/A,-0.193
125,KRG,5792061952,N/A,1.307,-0.00676,N/A
126,ATR,10085061632,31.981054,0.572,0.13914,0.081
127,ELME,1537545088,N/A,0.913,-0.045840003,N/A
128,DNLM.L,2517414912,16.824324,1.179,0.79511,-0.026
129,BDEV.L,7150715392,41.3,1.629,0.020680001,-0.697
130,TEP.L,1431681280,20.359552,0.574,0.30663002,0.084
131,ESRT,2934182912,39.23077,1.416,0.04304,-0.264
132,CGNX,6559912960,85.0,1.407,0.05248,-0.364
133,ZBRA,16914760704,74.02483,1.656,0.07326,-0.219
134,DLX,832937152,22.164705,1.458,0.06219,0.223
135,BWA,7489044480,9.873875,1.182,0.1183,0.541
136,ELV,126067138560,19.035713,0.832,0.16576,0.264
137,NYT,8656563200,32.537037,1.024,0.15815,0.423
138,SNWS.L,133716512,6.2666664,0.827,N/A,-0.132
139,INS.DE,417629888,20.51064,1.643,0.03444,-0.132
140,INCH.L,3380976896,12.373134,1.194,0.19498,-0.092
141,NWSA,15320163328,57.826088,1.358,0.03943,N/A
142,AT1.DE,2668354560,N/A,1.622,-0.09363,N/A
143,MKSI,7104224768,703.86664,1.629,0.00338,N/A
144,7914.T,24147355648,16.644073,N/A,0.02289,-0.546
145,MMI,1468227712,N/A,1.139,-0.05424,N/A
146,EXPN.L,33712357376,37.272728,0.715,0.2787,0.359
147,GRI.L,1760409088,N/A,0.707,-0.00058,N/A
148,SNBR,315876160,N/A,2.052,N/A,N/A
149,SMWH.L,1610217600,25.102041,1.671,0.2229,-0.461
150,IR,35284676608,43.29208,1.423,0.085319996,0.023
151,ITV.L,3089279232,7.1818185,1.436,0.23158,5.6
152,LAD,7385560576,8.921189,1.641,0.14092,-0.27
153,HSII,732645440,19.491892,0.847,0.08708,N/A
154,CUZ,4319964160,72.794876,1.292,0.01317,-0.654
155,LIN,221122084864,35.322655,0.945,0.16193001,0.078
156,PHP.L,1330955264,N/A,0.407,-0.00601,-0.892
157,NL,310671392,14.133334,0.507,0.06347,N/A
158,BALL,19516192768,29.356165,0.878,0.12785,-0.073
159,2146.T,106484776960,12.139619,1.686,0.28621998,1.522
160,DHR,197229150208,50.29282,0.861,0.07982,-0.181
161,KIM,15700069376,43.12963,1.492,0.03642,0.034
162,8057.T,65950912512,9.176448,0.85,0.12085,-0.391
163,6841.T,951096311808,20.080765,0.822,N/A,-0.583
164,MAC,3474503168,N/A,2.477,-0.02647,N/A
165,ECOR.L,154876544,10.383333,0.621,0.0017200001,25.65
166,SWBI,548992128,16.54054,0.941,0.0904,N/A
167,8151.T,34906931200,12.403645,N/A,0.100530006,N/A
168,CNNE,1185683968,N/A,0.88,-0.21212,N/A
169,PLD,120599904256,42.986797,1.083,0.052020002,-0.293
170,REXR,11249911808,41.20661,0.943,0.03499,0.427
171,IPGP,2765015808,20.633663,0.996,0.06048,-0.657
172,RHI,6425458176,20.51495,1.226,0.20267999,-0.34
173,6845.T,621390331904,19.841639,N/A,0.14879,0.331
174,7868.T,70604595200,14.843987,0.079,0.111379996,-0.054
175,CDP,3352481280,N/A,1.014,-0.06939,0.161
176,AAP,2310588928,N/A,1.193,-0.01119,-0.534
177,HEAD.L,121990024,15.099999,1.42,0.034590002,-0.743
178,GOLF,4029010432,22.02027,0.854,0.188,0.018
179,HAS.L,1429319296,N/A,1.13,-0.00798,N/A
180,LSL.L,353161376,42.500004,1.086,0.07954,N/A
181,7272.T,1203381600256,6.9783435,1.152,0.15376,-0.026
182,RCH.L,318041984,7.692308,1.007,0.06414,4.252
183,ATGE,2640547328,20.485378,0.954,0.097449996,1.575
184,7701.T,1371341455360,24.330683,0.811,0.11965,-0.1
185,SAP.DE,224644562944,89.1574,0.921,0.061,-0.725
186,GWI.L,694557504,N/A,N/A,N/A,N/A
187,POOL,13255598080,29.09152,1.001,0.31962,-0.156
188,AZO,53306875904,21.607119,0.709,N/A,0.075
189,ZWS,5469696000,43.835617,0.956,0.08043,0.33
190,GTX,1694204288,3.672986,1.158,N/A,N/A
191,LKQ,10524975104,14.538181,1.283,0.12129,-0.336
192,2154.T,176061218816,16.863462,1.431,0.15147,1.069
193,MIDW.L,314097856,13.954545,0.66,0.13248,-0.462
194,HPQ,32929286144,11.992983,1.083,N/A,-0.145
195,AZEK,5920154112,35.964912,1.875,0.11604,0.478
196,ADV.DE,1007775168,N/A,0.457,-0.06216,N/A
197,VRE,1745794688,N/A,1.241,-0.08833,N/A
198,NSIT,6559602176,25.037313,1.457,0.17874001,0.046
199,KMX,12584649728,31.619608,1.688,0.06728,-0.326
200,OXIG.L,1265211008,25.348835,0.961,0.14288001,-0.255
201,CDNS,69224431616,65.49482,1.02,0.29442,0.037
202,CAH,27505715200,32.695652,0.616,N/A,48.135
203,VNT,4962973184,12.419231,1.287,0.46787,-0.274
204,VTR,26507960320,N/A,1.388,-0.014359999,-0.816
205,QUAD,223249520,N/A,1.615,-0.47787,N/A
206,COR,46361772032,25.681868,0.441,1.87717,0.03
207,REG,13592446976,35.788464,1.218,0.06131,0.064
208,7976.T,131563134976,10.329072,0.243,0.105399996,1.205
209,API.L,215773984,N/A,N/A,N/A,N/A
210,STAA,1478105344,91.0606,0.592,0.04356,0.25
211,JOUT,360963104,N/A,0.693,-0.016239999,-0.89
212,PNN.L,1822074752,N/A,0.286,-0.0074299998,N/A
213,ENR.DE,20322064384,38.969696,2.008,0.07389,N/A
214,WSM,16718440448,15.905049,1.728,0.55959,0.115
215,WIX.L,390640160,13.766666,0.778,0.18187,1.785
216,A,39677120512,28.649376,1.054,0.24658,1.569
217,EQR,29349079040,30.65306,0.91,0.085939996,0.276
218,PFG,18343768064,15.058934,1.192,0.118190005,-0.057
219,8952.T,840910241792,23.508913,0.416,0.06751,N/A
220,PTEC.L,1965269760,23.035713,1.319,0.059910003,N/A
221,SPGI,161454800896,49.033268,1.177,0.09255,1.019
222,FOXT.L,191210048,31.5,1.695,0.05692,0.462
223,HPE,22856591360,12.48227,1.203,0.086660005,0.086
224,8976.T,293172150272,23.61689,0.439,0.05011,N/A
225,2124.T,126505861120,21.614227,1.27,0.37445,-0.109
226,4641.T,53649371136,15.395585,0.549,0.20681,0.32
227,LZB,1604073088,13.647687,1.289,0.12512,-0.032
228,CWC.DE,696907008,11.245791,1.049,0.17576,N/A
229,AAD.DE,489437600,13.387815,1.664,0.26590002,N/A
230,STX,21331056640,64.13924,1.058,N/A,N/A
231,ESS,19946332160,37.1349,0.895,0.095369995,-0.066
232,AMAT,146372919296,19.94944,1.541,0.4391,0.108
233,AMH,16376559616,40.402058,0.765,0.05447,-0.074
234,AG1.DE,1941849472,N/A,2.006,-0.124180004,N/A
235,LEA,6197800448,11.782887,1.455,0.12321,0.063
236,7762.T,223827787776,8.872763,0.216,0.100209996,0.393
237,ANIK,359115904,N/A,0.836,-0.30629998,N/A
238,PKE,267344880,39.999996,0.406,0.05847,-0.455
239,HIW,3420050944,22.425533,1.283,0.06171,0.479
240,MAA,19231191040,36.43182,0.873,0.08469,-0.307
241,RDFN,1270102912,N/A,2.66,-7.44568,N/A
242,PSM.DE,1202643456,N/A,1.543,-0.01909,N/A
243,4848.T,54510497792,8.861919,0.977,0.23205,-0.175
244,HLE.DE,9777768448,29.729729,1.092,N/A,0.78
245,5108.T,3725953335296,10.881347,0.404,0.09681,0.22
246,RELL,166013920,Infinity,0.947,0.00037999998,N/A
247,3107.T,251726643200,64.92041,0.547,0.02763,-0.102
248,PSA,61518827520,32.911983,0.67,0.20954001,-0.113
249,AY,2538074112,72.83333,1.0,0.01743,-0.385
250,7476.T,202031955968,27.248209,N/A,0.12168,0.121
251,ORLY,65199566848,28.291468,0.924,N/A,0.032
252,LOW,138833854464,20.192244,1.09,N/A,-0.086
253,ALV.DE,111056928768,12.334784,1.075,0.16454001,0.105
254,BBSI,915865024,19.147541,1.381,0.26181,0.509
255,DLB,6589472768,31.701834,0.969,0.08917,1.353
256,OPEN,1384919808,N/A,2.688,-0.41222,N/A
257,RSW.L,2410654720,24.738806,0.633,0.11305001,-0.295
258,SMDS.L,6308812800,16.357143,0.872,0.095819995,N/A
259,7613.T,49914552320,8.143823,0.973,0.06493,-0.547
260,LMP.L,4124111616,18.381819,0.896,0.0402,N/A
261,O5G.DE,6799253504,N/A,-0.031,-0.0936,N/A
262,CCI,51079008256,43.054947,0.861,0.18743,-0.45
263,DLN.L,2681509120,N/A,1.035,-0.098979995,N/A
264,ALV,7784557056,12.995989,1.608,0.25755,1.796
265,LITE,3481600000,N/A,0.887,-0.47252998,N/A
266,MNDI.L,6330576896,19.405405,0.676,0.074149996,-0.357
267,8084.T,54658248704,9.960159,0.493,0.06554,-0.209
268,AMBP,2139658624,N/A,0.607,-0.38431,N/A
269,BXP,13156301824,70.094345,1.199,0.031770002,-0.232
270,EXLS,5818649600,33.379627,1.005,0.21193,-0.034
271,8022.T,232691548160,15.751847,0.478,0.10746,0.099
272,HFD.L,318903424,11.23077,1.616,0.05222,N/A
273,BDN,869413824,N/A,1.309,-0.11592,N/A
274,8060.T,619875205120,16.317892,0.226,0.08843,0.294
275,MTH,6893812736,8.345207,1.807,0.18359,0.257
276,XRAY,5140827136,N/A,1.009,-0.0535,N/A
277,FL,2381210368,N/A,1.425,-0.11882,N/A
278,HAE,3722154240,32.61435,0.301,0.12982,-0.075
279,BRX,8253839360,28.237112,1.548,0.1031,0.232
280,6701.T,3342921891840,21.73913,0.34,0.08122,N/A
281,MTD,29383712768,38.158447,1.139,N/A,0.07
282,MSI,73221505024,51.38993,0.977,2.51541,0.209
283,FME.DE,10545262592,19.856354,0.857,0.050630003,0.333
284,DLR,49860444160,42.91379,0.619,0.05388,-0.411
285,SAFE.L,1955485440,7.3966937,0.861,0.13585,0.674
286,LRCX,95369248768,25.347256,1.483,0.45706,0.303
287,7864.T,121802072064,10.659826,0.442,0.08816,0.51
288,FOXA,17748221952,12.798722,0.77,0.14313,-0.08
289,LEG,1573767168,N/A,1.09,-0.69751,N/A
290,HLCL.L,283478592,N/A,0.724,-0.37596,N/A
291,FARO,318379488,N/A,1.248,-0.05668,N/A
292,3466.T,266750394368,22.416386,0.355,0.053400002,0.245
293,SAX.DE,3136264704,29.020617,1.244,0.2903,0.686
294,9468.T,409442877440,37.481537,0.667,0.05968,-0.076
295,4732.T,662195601408,19.492363,0.565,0.18165001,0.157
296,KBX.DE,12049699840,20.040215,0.965,0.22363001,0.199
297,JDG.L,703980992,73.61111,0.829,0.14442,0.049
298,IRM,32381360128,141.52565,1.026,0.81127,308.278
299,BOSS.DE,2345170432,9.085562,1.34,0.18892,-0.507
300,NSP,3254212608,20.397648,1.131,1.1843699,0.5
301,G1A.DE,7064195584,17.656904,1.002,0.17867,0.033
302,RDW.L,2576698368,12.171875,1.721,0.10556,-0.589
303,RNW,2168533504,199.33334,0.923,0.01296,-0.97
304,FRT,9873086464,34.346043,1.256,0.093310006,0.843
305,MODG,1889515264,93.454544,1.745,0.0053899996,-0.459
306,PINE.L,303597888,5.6209674,0.558,N/A,0.011
307,SPG,60705452032,20.60178,1.769,0.8296,0.016
308,MPX,312459296,12.162162,1.202,0.19056,-0.663
309,6702.T,5179412316160,19.8017,0.855,0.14973,2.969
310,1925.T,2911767887872,8.944544,0.548,0.13307,0.567
311,BSL.DE,275112640,N/A,1.949,-0.10817,0.009
312,IVT,1987643520,325.1111,-5.964,0.00415,-0.333
313,TBCG.L,1579111936,4.635332,1.074,0.25877002,0.125
314,HBH.DE,1263273216,8.195021,1.358,0.080340005,0.436
315,PAG,10469009408,11.537159,1.16,0.19487,-0.182
316,JD.L,7041295872,13.585,1.655,0.22002001,81.226
317,6448.T,709986811904,22.221777,N/A,N/A,0.017
318,AMT,111413067776,44.668537,0.83,0.21584,0.882
319,ESCA,192061840,16.47619,1.243,0.07249,-0.231
320,BKG.L,5049970688,12.85974,1.224,0.11537,-0.225
321,IGT,4354077184,20.740385,1.969,0.16097,-0.13
322,CRMT,322780512,N/A,1.681,-0.07486,N/A
323,BCYC,1818668800,N/A,0.885,-0.30235,N/A
324,TPX,8474070528,23.349283,1.595,1.31961,0.154
325,6915.T,36387856384,13.089005,0.43,0.07301,0.263
326,TMO,236997951488,38.4399,0.778,0.13527,0.151
327,9934.T,213742911488,13.262322,0.306,0.102790006,0.17
328,WAT,19714086912,33.21,0.955,0.5457,-0.059
329,AN,6502627328,8.921067,1.199,0.36501,-0.468
330,THRM,1437898880,21.956938,1.431,0.10313,N/A
331,PETS.L,1391935616,18.9875,0.694,0.07867,-0.032
332,GPC,19032231936,15.811342,0.913,0.28061,-0.135
333,RWA.L,238780400,41.25,1.218,0.03638,N/A
334,MNRO,741140736,22.72477,1.107,0.05128,-0.331
335,3462.T,711995228160,23.94841,0.442,0.04992,0.241
336,UDMY,1154780160,N/A,1.988,-0.29782,N/A
337,HD,363068456960,24.581036,1.003,5.13362,-0.011
338,EGP,9047736320,38.681248,1.007,0.09089,0.175
339,NWL,2953600000,N/A,0.9,-0.08382,1.71
340,SPT.L,993868416,86.9,0.569,0.035639998,N/A
341,6981.T,5300647624704,26.667624,0.789,0.07856,0.331
342,CSCO,194348548096,19.17323,0.819,0.22982,-0.439
343,HASI,3810137088,14.373333,1.968,0.12236,0.687
344,RWS.L,604646656,N/A,0.759,-0.038039997,-0.45
345,6436.T,300534038528,22.778534,0.389,0.110290006,0.044
346,ASCL.L,1152418432,47.416668,1.219,0.08849,N/A
347,OKTA,12106063872,N/A,1.019,-0.0231,N/A
348,MOV,413988384,11.71698,1.024,0.07324,-0.556
349,UDR,16727232512,108.585365,0.841,0.030350002,-0.923
350,PMT,1196076032,8.883871,1.472,0.0968,0.063
351,CMLS,25404300,N/A,1.452,-0.4388,N/A
352,G24.DE,5386747392,31.319149,0.529,0.12564999,-0.204
353,JNPR,12620109824,54.0,0.921,0.05277,0.429
354,RDWR,855016192,N/A,0.975,-0.03598,N/A
355,8967.T,244774092800,25.397377,0.368,0.06768,-0.005
356,8159.T,62439038976,8.388725,0.503,0.08495,-0.379
357,HST,23975061504,15.820756,1.341,0.10767999,0.17
358,AGR.L,1312606720,N/A,0.365,-0.018819999,N/A
359,3295.T,200160002048,19.586403,0.542,0.051030003,N/A
360,8960.T,422337806336,19.607843,0.492,N/A,0.125
361,8035.T,10136841093120,23.980816,1.216,0.25714,0.988
362,2181.T,632497766400,19.157608,1.169,0.17556,0.381
363,SBRA,4069165824,75.52174,1.243,0.01833,0.111
364,ICG.L,6074208768,13.0625,1.974,0.21561001,-0.016
365,EQIX,78975246336,76.381996,0.7,0.085,0.43
366,ADNT,1935615872,29.6,2.164,0.06547,N/A
367,TEL,44013551616,12.965086,1.325,0.28673,0.114
368,BIG.L,314300672,17.750002,0.498,0.15409,-0.199
369,CI,99969507328,28.269566,0.509,0.091280006,0.108
370,7734.T,177681711104,21.979605,0.489,0.11525,-0.116
371,TBI,215948192,N/A,1.494,-0.27524,N/A
372,SREI.L,237218832,48.500004,N/A,N/A,N/A
373,UTG.L,4645426176,15.590164,1.241,0.06724,1.317
374,HOG,4791004672,7.368421,1.458,0.20142001,0.336
375,UTMD,229941936,15.272517,0.078,0.12717,-0.15
376,SVT.L,8158131712,53.29412,0.385,0.099980004,0.401
377,DRH,1731737600,28.655174,1.606,0.04349,-0.412
378,BFSA.DE,991356672,17.125,1.606,0.07259,1.0
379,7906.T,162316779520,17.537626,0.308,0.15544,0.162
380,DHL.DE,45582422016,14.233577,1.071,0.15597,-0.213
381,DFS.L,283314240,15.125001,1.584,0.07722,-0.903
382,8984.T,544271990784,25.198303,0.241,0.04172,N/A
383,FTDR,3622454784,18.257694,1.039,1.1942,0.388
384,SUPR.L,943403648,Infinity,N/A,N/A,N/A
385,IFX.DE,37927149568,18.046297,1.701,0.12718001,-0.523
386,WLY,2325231360,N/A,0.859,-0.13265,N/A
387,AOX.DE,651751296,N/A,1.033,-0.2892,0.16
388,JBGS,1495751040,N/A,1.081,-0.06501,N/A
389,GPI,4750696448,8.748457,1.327,0.20731,-0.155
390,CLMB,404890784,29.10265,1.048,0.18771,1.431
391,BAH,19631865856,32.750004,0.593,0.58025,0.04
392,ETD,729397376,11.522088,1.257,0.1338,-0.273
393,ARE,20684998656,145.98766,1.173,0.01491,-0.511
394,LVWR,1130070016,N/A,0.962,-0.471,N/A
395,SSP,149844976,N/A,1.74,-0.19748,N/A
396,TW.L,5635552256,22.742857,1.812,0.0551,-0.586
397,SMTC,3195655424,N/A,1.539,-7.74954,N/A
398,AGYS,2821638144,27.878786,0.836,0.49271,11.5
399,SDRY.L,3270419,N/A,2.159,-5.94196,N/A
400,SEE,4852367360,13.324,1.348,0.68461,-0.018
401,SLG,4082379008,N/A,1.815,-0.03366,N/A
402,NVDA,2611709214720,49.985912,1.673,1.23767,1.68
403,7867.T,319939641344,30.395576,0.551,0.109060004,0.413
404,WTS,6368058880,23.17233,0.889,0.18202999,0.08
405,AKAM,14405576704,23.590569,0.676,0.13906,0.024
406,NCC.L,477064160,N/A,0.768,-0.097040005,N/A
407,SKT,3363729152,34.17778,1.835,0.18969999,-0.041
408,3282.T,253220978688,29.11463,0.21,0.05599,-0.008
409,IBM,187481260032,22.489502,0.693,0.36244,0.141
410,3421.T,27827818496,11.723145,0.129,0.05627,0.218
411,6200.T,89856180224,27.933842,1.185,0.39619,0.161
412,EA,38124060672,33.95294,0.791,0.15624,-0.293
413,TSCO,29425586176,26.331083,0.799,0.51282,0.026
414,ACRE,382176096,N/A,1.496,-0.07645,N/A
415,CEC.DE,1241195392,9.135715,2.215,0.27309,N/A
416,PANW,112022675456,47.194786,1.132,0.74517995,0.591
417,ADS.DE,38209482752,198.14815,1.147,0.048109997,1.255
418,AV.L,13133227008,10.75,0.895,0.14025,0.674
419,MCK,66060058624,22.752123,0.441,N/A,-0.003
420,RTO.L,11856979968,29.506252,0.552,0.09661,0.06
421,VID.L,293870624,N/A,1.003,-0.052470002,N/A
422,5988.T,78536507392,21.009016,0.392,0.03852,-0.783
423,AL,4695654400,9.047211,1.603,0.07971,-0.263
424,QCOM,179097780224,20.558825,1.284,0.38924,0.174
425,BCPT.L,666472512,N/A,N/A,N/A,N/A
426,GWRE,13894046720,N/A,1.182,-0.0047999998,0.334
427,LEVI,7484981760,52.305553,1.136,0.07391,N/A
428,3451.T,51009650688,18.15614,0.503,N/A,0.063
429,NDAQ,41180119040,41.65698,0.962,0.11017,-0.296
430,8141.T,30192490496,12.408163,0.047,0.045029998,-0.704
431,QGEN,10198776832,131.11429,0.388,0.020680001,N/A
432,TM17.L,323894240,N/A,0.312,-0.015,N/A
433,8986.T,242133139456,20.668966,0.16,N/A,0.135
434,DWNI.DE,9268432896,N/A,0.761,-0.08315,N/A
435,GAW.L,3354513664,22.227076,1.245,0.62117,0.168
436,KRC,4094233600,20.559525,1.053,0.03929,-0.128
437,BIRK,8373416960,68.58462,N/A,0.04422,0.151
438,CRI,2507261952,10.75814,1.234,0.30037,0.194
439,PAG.L,1520557568,11.219697,1.52,0.14433,1.35
440,2715.T,71614906368,12.672996,0.588,0.08322,-0.064
441,TPR,9505824768,11.797143,1.552,0.31538,-0.284
442,FOSL,54196984,N/A,2.204,-0.5815,N/A
443,CCEP,37818986496,21.015463,0.755,0.19393,-0.07
444,RWI.L,504541952,14.0222225,1.235,0.1367,N/A
445,ILM1.DE,410641792,24.02985,1.076,0.0332,-0.481
446,ACLS,3182172928,13.438016,1.58,0.28523,-0.167
447,COMM,974527488,N/A,2.08,N/A,N/A
448,JAKK,260762528,8.825278,2.346,0.16068001,-0.19
449,HQI,196560000,33.428574,1.0,0.09151,0.007
450,CAR,2485431296,3.42457,2.129,N/A,-0.964
451,FRE.DE,18941661184,57.000004,1.07,0.0083099995,N/A
452,HAYW,3029002240,34.341465,1.21,0.0687,0.308
453,8968.T,113668800512,19.329218,0.679,0.05906,0.063
454,HOFT,169602624,113.07143,1.191,0.00721,N/A
455,3249.T,304853647360,17.323978,0.43,0.07618,0.194
456,6861.T,15611333705728,41.322422,0.703,0.13956,0.099
457,CNH,13189766144,6.831169,1.601,0.26511,-0.346
